20230607	22:31:43	15f22532-de5c-41c7-ba70-848b636ac038	/new-page.html	GET
20230607	22:31:43	26998db1-44cb-4af5-aea8-58595ad79b8c	/css/style.css	GET
20230607	22:31:43	dcb5b45c-bf72-4c88-9fe5-574119b6254e	/img/img1.jpg	GET
20230607	22:31:44	24e01248-981c-44ab-8b87-31be13a23172	/favicon.ico	GET
20230607	22:34:17	b196d490-4e3f-4e2e-a3d9-c79864a968d1	/new-page.html	GET
20230607	22:34:17	84dc1864-3808-4029-b6e5-05c929726456	/css/style.css	GET
20230607	22:34:17	5fce7e63-eebc-4991-83fe-4c4ac9ad6314	/img/img1.jpg	GET
20230607	22:35:40	238a8661-fc56-468b-b0b5-85267a8ae434	/new-page.html	GET
20230607	22:36:56	9f9cfbc0-696c-4787-ad03-5d504c8e57f3	/new-page.html	GET
20230607	22:36:56	dc742521-e75e-4293-80d2-1f95e9bf5d87	/css/style.css	GET
20230607	22:36:56	ae6a91cc-49f1-41e4-a89f-885a84966a87	/img/img1.jpg	GET
20230608	00:40:44	98125a0d-8dfc-4c5b-865d-5b241bdc8bed	GET	undefined	/
20230608	00:40:44	8c9073be-a263-413f-aa0c-fafa75f28c00	GET	undefined	/css/style.css
20230608	00:43:34	7a8f206e-6764-4999-b387-35413d4c1d3b	GET	undefined	/
20230608	00:43:34	6b2ce8fa-2ab5-417c-b021-fcad6f3c95d7	GET	undefined	/css/style.css
20230608	00:45:55	b1a0dfab-3f02-4340-b538-c078c05ed87f	GET	undefined	/
20230608	00:45:55	6d373a3a-3c27-4a0e-9e56-cfbae11112de	GET	undefined	/css/style.css
20230608	00:48:47	54418e04-448f-4e27-b203-26befc02d329	OPTIONS	https://www.google.com	/
20230608	00:48:47	4475dd70-fa46-4221-89fa-79a1929e4926	GET	https://www.google.com	/
20230608	00:52:09	50367e07-7958-4ae4-a178-13df764dd842	GET	undefined	/
20230608	00:52:09	614e86ad-ad3b-4f2c-a93f-ddd488d8e8fe	GET	undefined	/css/style.css
20230608	00:52:20	379bf705-7bdd-450a-942e-d6c1dcfcec9d	OPTIONS	https://www.google.com	/
20230608	00:52:20	12a25dca-a2ea-4e4d-b368-c19b620981a0	GET	https://www.google.com	/
20230608	01:33:33	abbfa34c-6e58-4de5-ad85-082cd9765526	OPTIONS	https://www.google.com	/
20230608	01:33:33	43213a16-4689-4638-bf29-5682d9e8bfba	GET	https://www.google.com	/
20230608	01:34:16	5d79203f-a5c8-4bd4-bdbd-a34ea436e3f7	OPTIONS	https://www.google.com	/
20230608	01:34:16	f9d3cf01-469e-42c8-bc03-ddc2658cbeea	GET	https://www.google.com	/
20230608	01:35:09	7e2952b4-ce07-472b-97a1-f4fc393163b5	OPTIONS	https://www.google.com	/
20230608	01:35:09	403c0e13-49e8-40fa-b8c6-8efd3bd1de32	GET	https://www.google.com	/
20230608	01:38:05	86c108bf-e327-4d10-9c83-90ab1ce237cd	GET	undefined	/
20230608	01:39:00	f8dac116-e1cd-4548-a394-cdedcc951965	GET	undefined	/
20230608	01:39:00	64feda29-b9fc-48f5-9df2-e77e848357e1	GET	undefined	/css/style.css
20230608	01:45:08	7dbd1810-3b66-481a-b293-2f9635bc965d	GET	undefined	/
20230608	01:47:24	43fdf099-aac9-4776-a6f9-b7b513ea487a	GET	undefined	/
20230608	01:47:24	c41de50b-736e-4d45-907a-6240e39ecde6	GET	undefined	/css/style.css
20230608	01:47:35	48dfb61e-d3f1-472e-a2a8-8f72ad037469	GET	undefined	/dave
20230608	01:47:35	38bfdebb-2a74-4bd0-acf3-8d8da8391be6	GET	undefined	/css/style.css
20230608	01:50:35	358cb8c1-af4e-4e9d-bba2-f5dc3e6b0caa	GET	undefined	/dave
20230608	01:50:35	4e370068-c9e6-4001-8fac-db3ffe3b2de5	GET	undefined	/css/style.css
20230608	01:51:02	4e7031ed-6caf-4997-b23a-130824dd59eb	GET	undefined	/
20230608	01:51:02	e59d6f6c-54ae-4ade-ba59-e02f05d9a482	GET	undefined	/css/style.css
20230608	23:27:52	722331d8-a947-4361-a27c-3e93cb2d45f4	GET	undefined	/
20230608	23:27:52	149b97e5-69b2-4b55-baff-5d50376ae451	GET	undefined	/css/style.css
20230608	23:27:54	9365a416-84a3-4126-97a6-b251d9dafff5	GET	undefined	/favicon.ico
20230608	23:27:57	8b15f4a3-d4f9-431d-a077-e5a3a2ecb517	GET	undefined	/
20230608	23:27:57	1a7cfcf7-3a07-472c-a63f-ce8a772ff2f3	GET	undefined	/css/style.css
